"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bahrain","BHR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","7624221103.47913","7218864341.89657","6673391235.87742","7098911806.39139","7454116226.23047","7099429359.04756","7183415176.43469","7930419191.02771","8485547872.1663","8516435872.13312","8894395055.67055","9893235511.91183","10555092806.0632","11913533954.1921","11883749942.4451","12350780310.4502","12858398136.4749","13256108363.4132","13891076323.6746","14488392461.1778","15256276507.3657","15636315475.986","16201435104.2376","17177401647.9676","18376546950.2211","19620444333.8462","20889606053.0421","22621864899.6304","24034629395.827","24645054296.3673","25713271276.5957","26223377131.9619","27202099523.9053","28675502255.2549","29922841390.6393","30779223483.5898","","",
"Bahamas, The","BHS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1521943427.99479","1684290616.27603","1860332198.04687","2056114585.54687","2272038840.49478","2508912442.05729","2736519190.23437","2999173418.09895","3251756712.23957","3543818527.99478","3343605201.56249","3397989232.42186","3279150133.98437","3527302077.21354","2936329807.03124","2501661196.74478","2631376957.16145","2872277655.07811","3279552843.61978","4136804861.32812","4405501999.60936","3999032539.32291","4266923640.36457","4420407096.87498","5046829556.38019","5290550045.70311","5385621242.05728","5546356149.86978","5674460762.7604","6056200452.60415","5959528408.2031","5710313764.71352","5491860987.63019","5508765316.79686","5682231719.79164","5931042520.70311","6181541921.22394","6309020119.79165","6606583402.34373","7078566304.68747","7372273462.23956","7565841873.69789","7770469865.88537","7672193265.62498","7739929850.26036","8002723121.09375","8204140765.62494","8322815484.37494","8129378906.24995","7789496093.74996","7910000000","7958407552.08331","8203535156.24997","8157009813.44879","8055618235.79821","7808222786.33077","7821154995.10281","",
"Bosnia and Herzegovina","BIH","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2758501862.26045","3332270264.77958","6296580077.19916","8461947179.52191","9782010631.81418","10721083632.4236","11310743278.9328","11808415927.4057","12434262003.1151","12931632491.3659","13720462043.7462","14922131712.6024","15724715108.0111","16625545811.607","17553771246.6987","17028972709.4197","17176781336.7644","17340940610.8214","17198035823.1191","17602334123.3832","17804710570.8675","18351986794.8805","18912863953.4096","",
"Belarus","BLR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31610993224.6745","31231661306.0606","28233421820.6445","26087681762.1503","23035422995.9741","20639739004.5744","21217651696.4251","23636463989.847","25621926965.0605","26493072481.8185","28029670685.9076","29354158398.3644","30835154158.4006","33006933477.4592","36786142508.7162","40244039904.5355","44268443894.9891","48075530070.0195","52979235376.3842","53085191324.5955","57222490768.7143","60394740109.9615","61440410270.0481","62069551139.8208","63139062692.4886","60721108489.7286","59112583221.1971","",
"Belize","BLZ","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","98735541.365533","103565957.762842","108633079.853357","114017406.9702","119718140.395677","125620892.346014","131614070.54936","138080431.934065","148253128.666849","155823489.055951","163315004.598581","169781365.983286","187130141.821549","197145148.861389","223878001.813926","231921545.384386","231842643.486651","246904519.418383","266461350.316705","286491307.345121","329942063.261618","334200426.637528","333254117.326075","326235727.913539","332623244.451772","336171833.055644","351549202.475791","390978186.607058","427095173.725132","483005526.280944","534342136.074958","590432257.162776","661495254.210911","703014425.491375","704124757.186046","708659134.575871","718783908.247124","744266083.396219","772108754.582053","839902771.269847","949415695.712415","997035187.469506","1048069026.20692","1145817580.70996","1199103461.03176","1230025245.97225","1286391894.53536","1300597659.20359","1342587389.30728","1352161618.28356","1397113450","1426508029.66176","1481068378.16398","1500530789.22083","1553076164.99997","1597679503.58994","1588184521.96608","",
"Bermuda","BMU","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1236024650.86844","1293870604.52905","1351706620.55154","1366169881.39142","1517951355.21397","1590205839.72223","1818617223.97319","2060039383.27642","2103408633.45069","2175690717.0744","2313026675.95958","2392536967.94565","2435906218.11992","2472047259.93172","2493731885.01891","2587698593.72971","2819001261.32568","2985250053.66029","3028619303.83456","3093673179.09591","3339432263.4166","3418942555.40268","3238237346.34334","3303291221.60469","3319193280.00197","3252693763.06806","3469540013.93931","3599647764.46201","3745657573.382","3762282452.61539","3763005273.45173","3630006239.58401","3627837777.07534","3736983723.34719","3759391169.27049","3924772345.29896","4026835109.98094","4212069525.04015","4376340236.51672","4524376453.24803","4945919646.2653","5303135527.75517","5224766301.37623","5402967729.76868","5528385008.41416","5620941625.4668","5932559093.07918","6101393205.83452","6194616021.02816","5867281536.74729","5744414000","5552579615.57093","5284137923.53055","5151445059.9242","","","","",
"Bolivia","BOL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","4818838337.92097","4919069386.41405","5193072636.16594","5526504333.00169","5791475875.63925","6117247421.40647","6514703077.07346","6964795309.0593","6117247421.40647","6306638235.981","6275431642.47646","6593177851.70963","7118488339.85737","7527029870.88226","7748292041.93555","8314771040.5752","8698461748.91231","9130881078.736","9318310167.16052","9330735578.50441","9202739037.66105","9228103327.03294","8864632532.69629","8506313289.60134","8489243522.35104","8346930939.40081","8132091172.24542","8332423560.8537","8574855875.85557","8899853935.16865","9312432285.18364","9802873591.5169","9964277908.9969","10389682313.0627","10874596450.5412","11383340205.9752","11879806409.1738","12468356816.9483","13095434713.4455","13151337215.2619","13481147871.4736","13708143321.6724","14048868235.3697","14429780796.4839","15031978201.9893","15696607065.8374","16449574691.7853","17200380149.6269","18257962323.1053","18870882348.149","19649631308.1648","20672216340.1924","21731104039.6498","23207952413.94","24475238843.5128","25664047181.8707","26758341469.4947","",
"Brazil","BRA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","247310662283.767","272724087204.403","286949537646.126","289459406605.959","299548752460.682","308695437352.706","321507410025.781","337310353393.396","375855759983.656","412448426131.431","448619936451.118","499291947869.855","559470618996.975","637677291704.927","695336839630.648","731557463375.625","803179939606.989","840176962228.542","867329041465.823","926014995998.439","1010383853314.77","965994081544.009","971599219248.219","938469692479.613","987919003993.558","1066417682240.15","1151606273747.92","1193059832519.37","1191834885557.38","1230920620284.1","1192733081196.32","1210766456799.68","1205113228273.05","1261333796878.11","1328620300413.35","1387301889795.79","1417927071892.86","1466066102038.4","1471026627286.84","1477926721688.56","1538707417435.78","1560093406615.63","1607727796810.37","1626072083722.29","1719731819479.5","1774799957640.26","1845115804308.01","1957111987492.35","2056813970746.82","2054224996031.67","2208871646202.82","2296661602101.93","2340783923763.47","2411121329014.44","2423272459244.85","2331933197388.04","2248106280710.07","",
"Barbados","BRB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3600975520.5676","3460537200.88375","3263286012.15835","3289392518.13502","3355180311.58892","3423064381.37755","3558832520.95481","3727526466.83674","3866953029.33674","3879554263.8484","4052313124.08892","3956381145.22595","3987680985.78717","4074263661.62536","4131578954.08163","4295395002.73324","4538883372.81341","4618962185.67784","4637254300.29154","4449861748.36006","4461650000","4481974571.793","4494575806.30467","4494982297.74053","4495795280.61225","4536444424.19825","4629124471.57435","",
"Brunei Darussalam","BRN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","7076283755.04218","7101437330.39971","8532760029.33627","9464255592.2259","10105537880.4547","12385592665.9333","11519009534.2868","9235168243.49102","9600571983.86506","9648715584.89183","9706595966.2633","9561894976.16429","9302244591.12579","9489138760.54273","9593269453.61204","9490220608.72755","9593609020.9021","9895418335.16685","10366299816.6483","10397872753.9421","10724927172.7173","11205265273.194","11527788412.1746","11358194866.1533","11294758342.5009","11639492115.8783","11971150348.3682","12299643564.3564","12775897689.769","13146904070.407","13213206307.2974","13264408434.1768","13847739933.9934","13869146021.2688","13600124165.7499","13360145141.1808","13707370737.0737","14220755408.8742","14350568390.1724","14045471213.788","13715438210.4877","13637697103.0436","13301457645.7646","",
